Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
Master and Commander: The Far Side of the World,93926386,209486484,135000000,"November 14, 2003",PG-13,Based on Book/Short Story,Adventure,Historical Fiction,Peter Weir,85,7.5,63632
Meet Dave,11803254,50648806,60000000,"July 11, 2008",PG,Original Screenplay,Comedy,Science Fiction,Brian Robbins,19,4.8,13381
Million Dollar Baby,100492203,216763646,30000000,"December 15, 2004",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,91,8.2,141212
Mean Girls,86047227,128947227,18000000,"April 30, 2004",PG-13,Based on Book/Short Story,Comedy,Contemporary Fiction,Mark Waters,83,7,63607
Memoirs of a Geisha,57010853,161510853,85000000,"December 9, 2005",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Rob Marshall,36,7.1,38695
Men in Black,250690539,587790539,90000000,"July 1, 1997",PG-13,Based on Comic/Graphic Novel,Adventure,Science Fiction,Barry Sonnenfeld,91,7,119704
Mercury Rising,32983332,32983332,60000000,"April 3, 1998",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Harold Becker,17,5.8,21449
Meet Joe Black,44650003,44650003,85000000,"November 13, 1998",PG-13,Original Screenplay,Drama,Fantasy,Martin Brest,50,6.9,56067
Magnolia,22450975,48446802,37000000,"December 17, 1999",R,Original Screenplay,Drama,Contemporary Fiction,Paul Thomas Anderson,83,8,121540
Miss Congeniality,106807667,212100000,45000000,"December 22, 2000",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,41,6.1,42323
The Majestic,27796042,37306334,72000000,"December 21, 2001",PG,Original Screenplay,Drama,Historical Fiction,Frank Darabont,41,6.8,24809
Mission to Mars,60874615,106000000,90000000,"March 10, 2000",PG,Original Screenplay,Adventure,Science Fiction,Brian De Palma,24,5.1,32449
Mumford,4559569,4559569,28700000,"September 24, 1999",R,Original Screenplay,Comedy,Contemporary Fiction,Lawrence Kasdan,55,6.7,6303
Mindhunters,4476235,16566235,27000000,"May 13, 2005",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Renny Harlin,26,6.2,23357
Captain Corelli's Mandolin,25528495,62097495,57000000,"August 17, 2001",R,Based on Book/Short Story,Drama,Historical Fiction,John Madden,29,5.7,14706
Midnight in the Garden of Good and Evil,25078937,25078937,35000000,"November 21, 1997",R,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,50,6.5,18960
Monster-in-Law,82931301,155931301,45000000,"May 13, 2005",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Robert Luketic,16,5.1,16320
Moonlight Mile,6830957,6830957,21000000,"September 27, 2002",PG-13,Original Screenplay,Drama,Contemporary Fiction,Brad Silberling,62,6.7,8346
Mona Lisa Smile,63803100,121598309,65000000,"December 19, 2003",PG-13,Original Screenplay,Drama,Historical Fiction,Mike Newell,35,6.1,23657
Monster's Ball,31273922,44873922,4000000,"December 26, 2001",R,Original Screenplay,Drama,Contemporary Fiction,Marc Forster,85,7.2,38023
Monster House,73661010,140161010,75000000,"July 21, 2006",PG,Original Screenplay,Adventure,Kids Fiction,Gil Kenan,74,6.8,20689
"Monsters, Inc.",255870172,526864330,115000000,"November 2, 2001",G,Original Screenplay,Adventure,Kids Fiction,David Silverman,95,7.4,39908
Money Talks,41076865,41076865,25000000,"August 22, 1997",R,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,17,5.7,8640
Welcome to Mooseport,14469428,14469428,26000000,"February 20, 2004",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,13,5.2,6907
Me and Orson Welles,1190003,1190003,25000000,"November 25, 2009",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Richard Linklater,84,7.1,2417
Meet the Fockers,279167575,516567575,60000000,"December 22, 2004",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,38,6.4,69613
Meet the Parents,166225040,301500000,55000000,"October 6, 2000",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,84,7,84924
Minority Report,132024714,358824714,102000000,"June 21, 2002",PG-13,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,91,7.7,135142
Mrs. Henderson Presents,11036366,14466366,20000000,"December 9, 2005",R,Original Screenplay,Comedy,Historical Fiction,Stephen Frears,66,7.1,8831
Miracle at St. Anna,7916887,9110458,45000000,"September 26, 2008",R,Based on Book/Short Story,Drama,Historical Fiction,Spike Lee,34,5.9,8559
Meet the Spartans,38233676,84646831,30000000,"January 25, 2008",PG-13,Original Screenplay,Comedy,Historical Fiction,Jason Friedberg,2,2.4,47281
"Mystery, Alaska",8891623,8891623,28000000,"October 1, 1999",R,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,37,5.5,1338
Match Point,23089926,87989926,15000000,"December 28, 2005",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Woody Allen,77,7.8,65704
A Mighty Heart,9176787,18932117,15000000,"June 22, 2007",R,Based on Book/Short Story,Drama,Dramatization,Michael Winterbottom,78,6.7,13881
The Matrix Reloaded,281553689,738576929,127000000,"May 15, 2003",R,Original Screenplay,Action,Science Fiction,Andy Wachowski,73,7.1,148874
The Matrix Revolutions,139259759,424259759,110000000,"November 5, 2003",R,Original Screenplay,Action,Science Fiction,Andy Wachowski,37,6.5,123347
Mulholland Drive,7219578,11919578,15000000,"October 8, 2001",R,Original Screenplay,Drama,Contemporary Fiction,David Lynch,81,7.9,103026
The Mummy,155385488,416385488,80000000,"May 7, 1999",PG-13,Remake,Adventure,Fantasy,Stephen Sommers,54,6.8,95658
The Mummy Returns,202007640,433007640,98000000,"May 4, 2001",PG-13,Remake,Adventure,Fantasy,Stephen Sommers,47,6.2,68084
The Mummy: Tomb of the Dragon Emperor,102491776,397912118,175000000,"August 1, 2008",PG-13,Remake,Adventure,Fantasy,Rob Cohen,13,5.1,41570
Murder by Numbers,31874869,56643267,50000000,"April 19, 2002",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Barbet Schroeder,31,5.9,22318
The Muse,11614954,11614954,15000000,"August 27, 1999",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Albert Brooks,51,5.5,6507
Night at the Museum,250863268,574480841,110000000,"December 22, 2006",PG,Based on Book/Short Story,Comedy,Fantasy,Shawn Levy,43,6.4,67133
The Musketeer,27053815,27053815,40000000,"September 7, 2001",PG-13,Based on Book/Short Story,Adventure,Historical Fiction,Peter Hyams,10,4.4,7812
Monsters vs. Aliens,198351526,381687380,175000000,"March 27, 2009",PG,Based on Comic/Graphic Novel,Adventure,Fantasy,Rob Letterman,72,6.8,26582
A Mighty Wind,17583468,18552708,6000000,"April 16, 2003",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,88,7.2,13602
The Mexican,66808615,147808615,40000000,"March 2, 2001",R,Original Screenplay,Action,Contemporary Fiction,Gore Verbinski,55,5.9,37696
My Best Friend's Wedding,126813153,287200000,46000000,"June 20, 1997",PG-13,Original Screenplay,Comedy,Contemporary Fiction,P.J. Hogan,72,6.2,37287
My Dog Skip,34099640,35512760,7000000,"January 12, 2000",PG,Original Screenplay,Drama,Kids Fiction,Jay Russell,72,6.9,9029
My Fellow Americans,22331846,22331846,21500000,"December 20, 1996",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Peter Segal,50,6.3,6366
My Sister's Keeper,49200230,89053995,27500000,"June 26, 2009",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Nick Cassavetes,48,7.4,13839
Mystic River,90135191,156835191,30000000,"October 8, 2003",R,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,87,8,119484
Nacho Libre,80197993,99197993,32000000,"June 16, 2006",PG,Original Screenplay,Comedy,Contemporary Fiction,Jared Hess,40,5.7,31455
Narc,10465659,10465659,7500000,"December 20, 2002",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joe Carnahan,83,7.3,19248
The Chronicles of Narnia: Prince Caspian,141621490,419490286,225000000,"May 16, 2008",PG,Based on Book/Short Story,Adventure,Fantasy,Andrew Adamson,67,6.9,46608
National Treasure,173005002,347405002,100000000,"November 19, 2004",PG,Original Screenplay,Adventure,Contemporary Fiction,Jon Turteltaub,44,6.9,83989
The Nativity Story,37629831,46432264,35000000,"December 1, 2006",PG,Based on Book/Short Story,Drama,Dramatization,Catherine Hardwicke,37,6.6,4701
No Country for Old Men,74273505,162103209,25000000,"November 9, 2007",R,Based on Book/Short Story,Action,Historical Fiction,Joel Coen,95,8.3,197898
The Incredibles,261441092,632882184,92000000,"November 5, 2004",PG,Original Screenplay,Adventure,Super Hero,Brad Bird,97,8.1,159123
The Negotiator,44705766,49105766,50000000,"July 29, 1998",R,Original Screenplay,Action,Contemporary Fiction,F. Gary Gray,81,7.2,46511
Not Easily Broken,10572742,10572742,5000000,"January 9, 2009",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Bill Duke,35,5.2,1010
The Next Best Thing,14983572,24355762,25000000,"March 3, 2000",PG-13,Original Screenplay,Drama,Contemporary Fiction,John Schlesinger,19,4.4,6104
Northfork,1420578,1445140,1900000,"July 11, 2003",PG-13,Original Screenplay,Drama,Historical Fiction,Michael Polish,57,6.3,3776
In Good Company,45489752,63489752,26000000,"December 29, 2004",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,84,6.8,25695
Ninja Assassin,38122883,57422883,50000000,"November 25, 2009",R,Original Screenplay,Action,Contemporary Fiction,James McTeigue,25,6.3,20078
Lucky Numbers,10014234,10014234,65000000,"October 27, 2000",R,Original Screenplay,Comedy,Contemporary Fiction,Nora Ephron,23,4.9,5461
Nick and Norah's Infinite Playlist,31487293,31487293,10000000,"October 3, 2008",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Sollett,73,6.8,24021
The Notebook,81001787,102276787,30000000,"June 25, 2004",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Nick Cassavetes,52,8,95850
The Interpreter,72708161,163954076,90000000,"April 22, 2005",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Sydney Pollack,58,6.5,38227
The Number 23,35193167,76593167,32000000,"February 23, 2007",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,8,6.2,59174
Into the Wild,18354356,53813837,20000000,"September 21, 2007",R,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,82,8.2,99464
The New World,12712093,26184400,30000000,"December 25, 2005",PG-13,Original Screenplay,Adventure,Historical Fiction,Terrence Malick,60,6.9,33248
Ocean's Eleven,183417150,450728529,110000000,"December 7, 2001",PG-13,Remake,Comedy,Contemporary Fiction,Steven Soderbergh,81,7.6,139034
Ocean's Twelve,125531634,363531634,85000000,"December 10, 2004",PG-13,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,55,6,89861
Ocean's Thirteen,117144465,311744465,85000000,"June 8, 2007",PG-13,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,70,6.9,76884
Any Given Sunday,75530832,100230832,60000000,"December 22, 1999",R,Original Screenplay,Drama,Contemporary Fiction,Oliver Stone,49,6.6,48477
One True Thing,23337196,26708196,30000000,"September 18, 1998",R,Based on Book/Short Story,Drama,Contemporary Fiction,Carl Franklin,88,6.9,5591
One Night with the King,13395961,13395961,20000000,"October 13, 2006",PG,Based on Book/Short Story,Drama,Historical Fiction,Michael O. Sajbel,16,6,2993
Old School,75155000,86325829,24000000,"February 21, 2003",R,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,60,7,60477
Osmosis Jones,13596911,13596911,70000000,"August 10, 2001",PG,Original Screenplay,Comedy,Kids Fiction,Bobby Farrelly,54,6,10959
Oliver Twist,2070920,26670920,65000000,"September 23, 2005",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Roman Polanski,59,7,10748
Out of Sight,37562568,37562568,48000000,"June 26, 1998",R,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Soderbergh,93,7.1,38263
Out of Time,41083108,55489826,50000000,"October 3, 2003",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Carl Franklin,65,4.9,151
The Pacifier,113006880,198006880,56000000,"March 4, 2005",PG,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,20,5.3,22590
The Passion of the Christ,370782930,611899420,25000000,"February 25, 2004",R,Based on Book/Short Story,Drama,Dramatization,Mel Gibson,50,7.1,87326
Paycheck,53789313,89350576,60000000,"December 25, 2003",PG-13,Based on Book/Short Story,Thriller/Suspense,Science Fiction,John Woo,28,6.1,35660
The Princess Diaries,108244774,165334774,30000000,"August 3, 2001",G,Based on Book/Short Story,Comedy,Contemporary Fiction,Garry Marshall,46,5.9,23486
Peter Pan,48417850,95255485,100000000,"December 25, 2003",PG,Based on Book/Short Story,Adventure,Fantasy,P.J. Hogan,76,7.1,16894
A Perfect Getaway,15515460,20613298,14000000,"August 7, 2009",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Twohy,60,6.5,16324
Phone Booth,46566212,97837138,11000000,"April 4, 2003",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,71,7.2,68874
The Chronicles of Riddick,57712751,107212751,120000000,"June 11, 2004",PG-13,Original Screenplay,Adventure,Science Fiction,David Twohy,29,6.4,49383
Pitch Black,39235088,53182088,23000000,"February 18, 2000",R,Original Screenplay,Horror,Science Fiction,David Twohy,55,7,55217
Percy Jackson & the Olympians: The Lightning Thief,88761720,226435277,95000000,"February 12, 2010",PG,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,50,5.8,20451
Lake Placid,31770413,31770413,27000000,"July 16, 1999",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Steve Miner,38,5.3,19382
The Pledge,19719930,29406132,45000000,"January 19, 2001",R,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,77,6.9,22609
Planet of the Apes,180011740,362211740,100000000,"July 27, 2001",PG-13,Remake,Adventure,Science Fiction,Tim Burton,44,5.5,72763
Paranormal Activity,107918810,193770453,15000,"September 25, 2009",R,Original Screenplay,Horror,Contemporary Fiction,Oren Peli,82,6.7,53455
The Polar Express,181320597,305420597,170000000,"November 10, 2004",G,Based on Book/Short Story,Adventure,Kids Fiction,Robert Zemeckis,56,6.7,28550
Poseidon,60674817,181674817,160000000,"May 12, 2006",PG-13,Remake,Adventure,Contemporary Fiction,Wolfgang Petersen,33,5.6,35930
Possession,10103647,14805812,25000000,"August 16, 2002",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Neil LaBute,64,6.4,6789
Practical Magic,46850558,68336997,60000000,"October 16, 1998",PG-13,Based on Book/Short Story,Comedy,Fantasy,Griffin Dunne,21,5.5,20196
The Devil Wears Prada,124740460,326551094,35000000,"June 30, 2006",PG-13,Based on Book/Short Story,Comedy,Contemporary Fiction,David Frankel,75,6.8,66627
Primary Colors,39017984,39017984,65000000,"March 20, 1998",R,Based on Book/Short Story,Comedy,Dramatization,Mike Nichols,80,6.7,15340
Pride and Prejudice,38372662,120918508,28000000,"November 11, 2005",PG,Based on Book/Short Story,Drama,Historical Fiction,Joe Wright,85,5.5,1230
Perfume: The Story of a Murderer,2223293,132180323,63700000,"December 27, 2006",R,Based on Book/Short Story,Drama,Historical Fiction,Tom Tykwer,58,7.5,51704
The Prince of Egypt,101413188,218600000,60000000,"December 18, 1998",PG,Based on Book/Short Story,Adventure,Dramatization,Steve Hickner,79,6.8,24569
Panic Room,95308367,196308367,48000000,"March 29, 2002",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,76,6.9,68737
The Prestige,53089891,107896006,40000000,"October 20, 2006",PG-13,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Christopher Nolan,75,8.4,207322
The Postman,17650704,17650704,80000000,"December 25, 1997",R,Based on Book/Short Story,Action,Science Fiction,Kevin Costner,10,5.5,24045
Psycho,21541218,37226218,20000000,"December 4, 1998",R,Remake,Horror,Contemporary Fiction,Gus Van Sant,35,4.5,19769
The Patriot,113330342,215300000,110000000,"June 28, 2000",R,Original Screenplay,Drama,Historical Fiction,Roland Emmerich,62,6.9,78302
Public Enemies,97104620,210379983,102500000,"July 1, 2009",R,Based on Book/Short Story,Drama,Dramatization,Michael Mann,68,7.1,71323
Punch-Drunk Love,17791031,24591031,25000000,"October 11, 2002",R,Original Screenplay,Comedy,Contemporary Fiction,Paul Thomas Anderson,79,7.4,49786
Pay it Forward,33508922,33508922,40000000,"October 20, 2000",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Mimi Leder,40,6.8,36762
The Quiet American,12987647,12987647,20000000,"November 22, 2002",R,Based on Book/Short Story,Drama,Historical Fiction,Phillip Noyce,87,7.2,14285
Quarantine,31691811,36091811,12000000,"October 10, 2008",R,Original Screenplay,Horror,Contemporary Fiction,John Erick Dowdle,58,6.1,21939
Rabbit-Proof Fence,6199600,16199600,7000000,"November 29, 2002",PG,Based on Book/Short Story,Drama,Historical Fiction,Phillip Noyce,87,7.6,13241
The Rainmaker,45916769,45916769,40000000,"November 21, 1997",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Francis Ford Coppola,84,6.9,20514
Random Hearts,31054924,63200000,64000000,"October 8, 1999",R,Based on Book/Short Story,Drama,Contemporary Fiction,Sydney Pollack,15,4.8,11100
Ratatouille,206445654,620495432,150000000,"June 29, 2007",G,Original Screenplay,Comedy,Fantasy,Brad Bird,96,8.1,131929
Rollerball,18990542,25852508,70000000,"February 8, 2002",PG-13,Remake,Action,Science Fiction,John McTiernan,3,2.8,13827
Robots,128200012,260700012,80000000,"March 11, 2005",PG,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,64,6.4,27361
The Road to El Dorado,50802661,65700000,95000000,"March 31, 2000",PG,Original Screenplay,Adventure,Kids Fiction,David Silverman,49,6.4,8876
Red Dragon,92955420,206455420,78000000,"October 4, 2002",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Brett Ratner,68,7.3,66386
The Reader,34192652,106107610,33000000,"December 10, 2008",R,Based on Book/Short Story,Drama,Contemporary Fiction,Stephen Daldry,61,7.7,46984
The Reaping,25126214,62226214,40000000,"April 5, 2007",R,Original Screenplay,Horror,Fantasy,Stephen Hopkins,8,5.6,19881
Rebound,16809014,17492014,45000000,"July 1, 2005",PG,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,14,4.7,4485
Reign Over Me,19661987,20081987,20000000,"March 23, 2007",R,Original Screenplay,Drama,Historical Fiction,Mike Binder,63,7.7,39234
The Relic,33956608,33956608,60000000,"January 10, 1997",R,Based on Book/Short Story,Horror,Science Fiction,Peter Hyams,32,5.4,10249
The Replacements,44737059,50054511,50000000,"August 11, 2000",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,39,6.2,21542
The Replacement Killers,19035741,19035741,30000000,"February 6, 1998",R,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,39,5.9,13905
Revolutionary Road,22911480,76989671,35000000,"December 26, 2008",R,Based on Book/Short Story,Drama,Historical Fiction,Sam Mendes,68,7.6,45887
Be Kind Rewind,11175164,28505302,20000000,"February 22, 2008",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Michel Gondry,65,6.6,42470
Rachel Getting Married,12796277,13326280,12000000,"October 3, 2008",R,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,86,6.9,20451
Rounders,22921898,22921898,12000000,"September 11, 1998",R,Original Screenplay,Drama,Contemporary Fiction,John Dahl,64,7.3,45439
Rendition,9736045,20437142,27500000,"October 19, 2007",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Gavin Hood,46,6.9,23223
The Rocker,6409528,8767338,15000000,"August 20, 2008",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,40,6.3,11859
Rock Star,16991902,19317765,38000000,"September 7, 2001",R,Original Screenplay,Drama,Contemporary Fiction,Stephen Herek,52,5.8,15806
Roll Bounce,17380866,17500866,10000000,"September 23, 2005",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,64,5,3167
Romeo Must Die,55973336,91036760,25000000,"March 22, 2000",R,Original Screenplay,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.9,25309
Ronin,41610884,41610884,55000000,"September 25, 1998",R,Original Screenplay,Action,Contemporary Fiction,John Frankenheimer,68,7.2,57484
Rat Race,56607223,86607223,48000000,"August 17, 2001",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Jerry Zucker,43,6.4,40087
Righteous Kill,40081410,76781410,60000000,"September 12, 2008",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,20,6,34641
Road Trip,68525609,119739110,16000000,"May 19, 2000",R,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,59,6.4,44702
Rules of Engagement,61322858,71719931,60000000,"April 7, 2000",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,William Friedkin,37,6.2,18462
Rush Hour 2,226164286,347425832,90000000,"August 3, 2001",PG-13,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,51,6.4,52049
Rush Hour 3,140125968,253025968,180000000,"August 10, 2007",PG-13,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,19,6,39312
Rush Hour,141186864,245300000,35000000,"September 18, 1998",PG-13,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,60,6.8,55248
The Salton Sea,676698,676698,18000000,"April 26, 2002",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,63,7.1,16415
Saw II,87025093,152925093,5000000,"October 28, 2005",R,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,36,6.8,76530
Saw III,80238724,163876815,10000000,"October 27, 2006",R,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,25,6.3,60784
Saw IV,63300095,134528909,10000000,"October 26, 2007",R,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,17,6,44730
Saw VI,27693292,61259697,11000000,"October 23, 2009",R,Original Screenplay,Horror,Contemporary Fiction,Kevin Greutert,42,6.2,18091
The Adventures of Sharkboy and Lavagirl in 3-D,39177684,69425966,50000000,"June 10, 2005",PG,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,20,3.6,5619
Seabiscuit,120277854,148336445,86000000,"July 25, 2003",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Gary Ross,77,7.4,31033
A Scanner Darkly,5501616,7405084,20000000,"July 7, 2006",R,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Richard Linklater,68,7.2,41928
Scary Movie 2,71277420,141189101,45000000,"July 4, 2001",R,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,14,4.7,43941
Scary Movie 3,110000082,155200000,45000000,"October 24, 2003",PG-13,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37,5.4,42829
Scary Movie 4,90710620,178710620,40000000,"April 14, 2006",PG-13,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37,5,39542
About Schmidt,65005217,105823486,30000000,"December 13, 2002",R,Based on Book/Short Story,Drama,Contemporary Fiction,Alexander Payne,85,7.3,53760
School for Scoundrels,17807569,17807569,20000000,"September 29, 2006",PG-13,Remake,Comedy,Contemporary Fiction,Todd Phillips,26,6,15536
The Score,71069884,113542091,68000000,"July 13, 2001",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Frank Oz,74,6.8,42616
Scream,103046663,173046663,15000000,"December 20, 1996",R,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,81,2.9,217
Scream 2,101363301,101363301,24000000,"December 12, 1997",R,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,80,5.9,48196
Scream 3,89138076,161838076,40000000,"February 4, 2000",R,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,38,5.3,38230
Stardust,38634938,135556675,70000000,"August 10, 2007",PG-13,Based on Book/Short Story,Adventure,Fantasy,Matthew Vaughn,76,7.9,87883
Swordfish,69772969,147080413,80000000,"June 8, 2001",R,Original Screenplay,Action,Contemporary Fiction,Dominic Sena,25,6.3,57952
Shadow of the Vampire,8279017,8279017,8000000,"December 29, 2000",R,Original Screenplay,Drama,Historical Fiction,E. Elias Merhige,81,6.8,18221
Shaft,70327868,107190108,53012938,"June 16, 2000",R,Remake,Action,Contemporary Fiction,John Singleton,68,5.9,32881
The Shaggy Dog,61123569,87123569,60000000,"March 10, 2006",PG,Remake,Comedy,Fantasy,Brian Robbins,27,4.1,6116
Scary Movie,157019771,277200000,19000000,"July 7, 2000",R,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,53,6,68541
Shaun of the Dead,13542874,29629128,5000000,"September 24, 2004",R,Original Screenplay,Comedy,Fantasy,Edgar Wright,91,8,134693
Shutter Island,128012934,294512934,80000000,"February 19, 2010",R,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Martin Scorsese,67,8,105706
Sherlock Holmes,209028679,518249844,80000000,"December 25, 2009",PG-13,Based on Book/Short Story,Adventure,Historical Fiction,Guy Ritchie,69,7.5,91555
Shooter,47003582,95203582,60000000,"March 23, 2007",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Antoine Fuqua,48,7.2,149
Shrek,267655011,484399218,50000000,"May 18, 2001",PG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,8,163855
Shrek 2,441226247,919838758,70000000,"May 19, 2004",PG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,7.5,95658
Shark Tale,160861908,367275019,75000000,"October 1, 2004",PG,Original Screenplay,Adventure,Kids Fiction,Rob Letterman,35,5.9,40019
Showtime,37948765,78948765,85000000,"March 15, 2002",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Tom Dey,24,5.3,22128
Signs,227965690,408265690,70702619,"August 2, 2002",PG-13,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74,6.9,111561
Simon Birch,18253415,18253415,20000000,"September 11, 1998",PG,Based on Book/Short Story,Drama,Contemporary Fiction,Mark Steven Johnson,44,6.7,11371
A Simple Wish,8165213,8165213,28000000,"July 11, 1997",PG,Original Screenplay,Comedy,Fantasy,Michael Ritchie,27,4.9,1545
Sin City,74103820,158753820,40000000,"April 1, 2005",R,Based on Comic/Graphic Novel,Action,Fantasy,Robert Rodriguez,77,8.3,255814
The Sixth Sense,293506292,672806292,40000000,"August 6, 1999",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,85,8.2,238745
The Skeleton Key,47907715,92907715,40000000,"August 12, 2005",PG-13,Original Screenplay,Horror,Contemporary Fiction,Iain Softley,38,6.5,29810
The Skulls,35007180,35007180,15000000,"March 31, 2000",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Rob Cohen,8,5.3,14903
Sleepy Hollow,101068340,207068340,70000000,"November 19, 1999",R,Based on Book/Short Story,Horror,Historical Fiction,Tim Burton,68,7.5,107511
Lucky Number Slevin,22495466,55495466,27000000,"April 7, 2006",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Paul McGuigan,51,7.8,91145
Hannibal,165092266,350100280,87000000,"February 9, 2001",R,Based on Book/Short Story,Horror,Contemporary Fiction,Ridley Scott,39,6.4,74862
Slumdog Millionaire,141319928,365257315,14000000,"November 12, 2008",R,Original Screenplay,Drama,Contemporary Fiction,Danny Boyle,94,8.3,176325
Small Soldiers,55143823,71743823,40000000,"July 10, 1998",PG-13,Original Screenplay,Comedy,Kids Fiction,Joe Dante,46,5.9,20571
Smokin' Aces,35662731,56047261,17000000,"January 26, 2007",R,Original Screenplay,Comedy,Contemporary Fiction,Joe Carnahan,28,6.6,57313
